10:12:39,113 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:12:39,166 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:12:39,276 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=108 ms, enhance=0 ms, total=108 ms. Consult the log for full details
10:12:39,276 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:13:24,215 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:13:24,254 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:13:24,365 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=110 ms, enhance=0 ms, total=110 ms. Consult the log for full details
10:13:24,365 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:49:19,467 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:49:19,541 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:49:19,709 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=167 ms, enhance=0 ms, total=167 ms. Consult the log for full details
10:49:19,709 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:50:02,366 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:50:02,405 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:50:02,519 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=114 ms, enhance=0 ms, total=114 ms. Consult the log for full details
10:50:02,519 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:56:08,215 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:56:08,265 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:56:08,376 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=110 ms, enhance=0 ms, total=110 ms. Consult the log for full details
10:56:08,376 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:56:55,504 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:56:55,555 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:56:55,680 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=125 ms, enhance=0 ms, total=125 ms. Consult the log for full details
10:56:55,680 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:58:32,640 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:58:32,694 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:58:32,824 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=130 ms, enhance=0 ms, total=130 ms. Consult the log for full details
10:58:32,824 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:59:15,624 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:59:15,663 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:59:15,773 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=109 ms, enhance=0 ms, total=109 ms. Consult the log for full details
10:59:15,773 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
